"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","(Intercept)",-1.53942172667709,0.7681661699008,-2.00402176898247,0.0453592148359779,-3.04499975382483,-0.0338436995295051
"2","SpeciesElk",1.57570780171896,0.774407757341869,2.03472626246349,0.0421634836470384,0.0578964879803359,3.09351911545733
"3","SpeciesMoose",1.63941660653579,0.773749468643558,2.1187951306898,0.0343740707261235,0.122895514937451,3.15593769813423
"4","log(EffSpeed + 1):SpeciesWTD",5.65309792740226,2.07293785229022,2.72709474678974,0.00651053716195222,1.59021439472359,9.71598146008055
"5","log(EffSpeed + 1):SpeciesElk",0.244300554091472,0.23400506428738,1.04399686748423,0.296759889450445,-0.214340944111737,0.70294205229472
"6","log(EffSpeed + 1):SpeciesMoose",0.709871615897346,0.223959944656858,3.16963650346038,0.00157651847504182,0.270918190390269,1.14882504140441
"7","SpeciesWTD:log(TotalLight + 1)",0.824736323500055,0.351546925868443,2.34602058164118,0.0191856037600915,0.135717009922146,1.51375563707792
"8","SpeciesElk:log(TotalLight + 1)",0.0976151071491745,0.0762327833987304,1.28048724967322,0.200695162391958,-0.0517984027535737,0.247028617051913
"9","SpeciesMoose:log(TotalLight + 1)",0.134150290421275,0.076368906444983,1.75660876482392,0.079315737217638,-0.015530015749628,0.283830596592158
"10","SpeciesWTD:log(CrepLight + 1)",-1.00585486594394,0.997805462633198,-1.00806710687823,0.313686152532346,-2.96151763628213,0.949807904394364
"11","SpeciesElk:log(CrepLight + 1)",0.139543889947719,0.135447143276329,1.03024609137036,0.303164092900332,-0.125927632682679,0.405015412578137
"12","SpeciesMoose:log(CrepLight + 1)",-0.085646584382184,0.135962357679591,-0.629928649693017,0.528897002935772,-0.352127908687336,0.180834739922986
